_step,time_per_step,consistency_loss,reconstruction_loss,step,_runtime,uniformity_loss,learning_rate,clip_loss,_timestamp,total_loss
214,1.0716781616210938,0.025048021227121353,0.08739426732063293,214,2034.374051614,0.7465301752090454,0.0001,0,1770475184.4900954,0.12522174417972565
215,1.1530156135559082,-2.075734073514468e-08,0.09164049476385117,215,2035.448363498,0.7692934274673462,0.0001,0,1770475185.6437488,0.1301051676273346
216,1.0736966133117676,-2.0745915207953658e-08,0.08830144256353378,216,2036.520378268,0.7777857184410095,0.0001,0,1770475186.718147,0.1271907240152359
218,1.0727992057800293,-2.0762797703355318e-08,0.09750182926654816,218,2038.665319629,0.77117919921875,0.0001,0,1770475188.8638513,0.13606078922748566
220,1.0709822177886963,-2.0590334770531626e-08,0.0912107601761818,220,2040.809677518,0.7871395349502563,0.0001,0,1770475191.0068572,0.130567729473114
226,1.091322898864746,0.10638272762298584,0.08307059109210968,226,2047.267165867,0.7574122548103333,0.0001,0,1770475197.4625893,0.12306886166334152
229,1.0721416473388672,0.13342100381851196,0.08246904611587524,229,2050.485208282,0.7495890855789185,0.0001,0,1770475200.6809874,0.12261692434549332
233,1.0701825618743896,-2.0830327684961958e-08,0.07382704317569733,233,2054.769438085,0.7406839728355408,0.0001,0,1770475204.968301,0.11086124181747437
234,1.0700716972351074,0.05429316312074661,0.08485529571771622,234,2055.83888527,0.7553110122680664,0.0001,0,1770475206.0392208,0.12370671331882477
235,1.06876802444458,0.0510471910238266,0.0913366973400116,235,2056.908955684,0.7442739009857178,0.0001,0,1770475207.1086872,0.129571333527565
237,1.0704166889190674,0.12855035066604614,0.08320622146129608,237,2059.050732619,0.7552125453948975,0.0001,0,1770475209.2499247,0.12353786081075668
239,1.0688197612762451,0.1275152862071991,0.07340267300605774,239,2061.192184352,0.7445483207702637,0.0001,0,1770475211.3899596,0.11318039894104004
241,1.0707077980041504,-2.0771608433278743e-08,0.07374753057956696,241,2063.33615621,0.7339264154434204,0.0001,0,1770475213.5337124,0.1104438528418541
242,1.071457862854004,0.11017417907714844,0.06690214574337006,242,2064.408379949,0.7248777151107788,0.0001,0,1770475214.6058822,0.10534951835870743
243,1.0714421272277832,-2.0739491901622387e-08,0.06469178199768066,243,2065.482230456,0.7268089056015015,0.0001,0,1770475215.6781306,0.10103222727775574
248,1.096428394317627,-2.068475168925943e-08,0.08396849036216736,248,2070.87301483,0.7009146213531494,0.0001,0,1770475221.0699944,0.11901421844959259
249,1.0719919204711914,-2.0717550341942115e-08,0.07376616448163986,249,2071.945075444,0.7070925235748291,0.0001,0,1770475222.142876,0.10912078619003296
252,1.0738961696624756,-2.065308990495396e-08,0.07152307033538818,252,2075.17071069,0.6860576868057251,0.0001,0,1770475225.3635921,0.10582596063613892
254,1.072169542312622,0.10359575599431992,0.08394291251897812,254,2077.316941497,0.675294041633606,0.0001,0,1770475227.513556,0.11977952718734741
260,1.0720834732055664,0.026683654636144638,0.08126162737607956,260,2083.7635277,0.6479792594909668,0.0001,0,1770475233.960108,0.11419425904750824
262,1.0738911628723145,0.046425461769104004,0.06028716266155243,262,2085.911666831,0.6532241702079773,0.0001,0,1770475236.1079648,0.09387688338756561
266,1.0722706317901611,0.0953584611415863,0.06456031650304794,266,2090.206510186,0.6303443908691406,0.0001,0,1770475240.4025002,0.09798470139503479
270,1.0728061199188232,0.11925017833709717,0.07951895147562027,270,2094.505033432,0.6429298520088196,0.0001,0,1770475244.6998773,0.11405044794082642
271,1.073918342590332,-2.0712093373731477e-08,0.07340147346258163,271,2095.57824044,0.637980580329895,0.0001,0,1770475245.7748196,0.10530050098896027
273,1.0715839862823486,0.09778133034706116,0.07818657159805298,273,2097.724517351,0.615665078163147,0.0001,0,1770475247.9204059,0.11092545092105865
274,1.0730319023132324,-2.1028654373367317e-08,0.07709983736276627,274,2098.79773452,0.6235689520835876,0.0001,0,1770475248.9942446,0.108278289437294
275,1.071967363357544,0.02106085792183876,0.08163078129291534,275,2099.872333398,0.6072890758514404,0.0001,0,1770475250.0671794,0.11241645365953445
280,1.0789806842803955,-2.0607274109352147e-08,0.0844697505235672,280,2105.24125537,0.6182918548583984,0.0001,0,1770475255.4364657,0.11538434028625488
283,1.071842908859253,-2.0878133000223897e-08,0.08369522541761398,283,2108.492316436,0.599164605140686,0.0001,0,1770475258.6570892,0.11365345865488052
284,1.1040239334106445,0.10938244313001633,0.07436929643154144,284,2109.564788219,0.5994077920913696,0.0001,0,1770475259.7619853,0.10652733594179153
293,1.070141315460205,0.08800677210092545,0.07822972536087036,293,2119.209359683,0.5636730194091797,0.0001,0,1770475269.4079456,0.10817351192235947
303,1.0710422992706299,0.016175925731658936,0.07340693473815918,303,2129.933419319,0.5588896870613098,0.0001,0,1770475280.130969,0.10167493671178818
305,1.072359561920166,0.11931424587965012,0.06834534555673599,305,2132.103062555,0.5639194250106812,0.0001,0,1770475282.2766716,0.09892760217189789
312,1.070772647857666,-2.1000403194193495e-08,0.08882351219654083,312,2139.609854944,0.5548865795135498,0.0001,0,1770475289.8089788,0.11656784266233444
317,1.0717594623565674,0.07539860904216766,0.08474060893058777,317,2144.96720144,0.5575328469276428,0.0001,0,1770475295.1650822,0.11412522941827774
318,1.0709354877471924,-2.082771288769436e-08,0.06778652966022491,318,2146.038570057,0.5361117124557495,0.0001,0,1770475296.2368798,0.09459211677312851
321,1.0690901279449463,0.02069230005145073,0.05893417447805405,321,2149.272602165,0.5507097244262695,0.0001,0,1770475299.4498227,0.08688350766897202
322,1.0915553569793701,0.1276164948940277,0.08772700279951096,322,2150.342549096,0.5958665609359741,0.0001,0,1770475300.5422196,0.12007266283035278
323,1.0681850910186768,0.018762696534395218,0.07391371577978134,323,2151.413414404,0.5447450876235962,0.0001,0,1770475301.611391,0.10152623057365417
324,1.0710604190826416,-2.0958225377398776e-08,0.09012193232774734,324,2152.484274881,0.5451743602752686,0.0001,0,1770475302.6830897,0.11738064885139465
325,1.0702424049377441,0.022480078041553497,0.08022835105657578,325,2153.556825061,0.5445595979690552,0.0001,0,1770475303.754083,0.10790593922138214
326,1.0717518329620361,-2.0839934222749434e-08,0.07628478109836578,326,2154.628377097,0.5659816265106201,0.0001,0,1770475304.826575,0.10458385944366455
328,1.0730459690093994,-2.0745062556670746e-08,0.0722501277923584,328,2156.772043147,0.5386663675308228,0.0001,0,1770475306.9718451,0.09918344765901566
331,1.070749044418335,0.023578613996505737,0.0632711872458458,331,2159.989739952,0.5362796783447266,0.0001,0,1770475310.1860096,0.09055674076080322
333,1.0731070041656494,-2.0660650079662446e-08,0.06752889603376389,333,2162.139081124,0.5514994859695435,0.0001,0,1770475312.333311,0.09510387480258942
338,1.070885419845581,0.01235300861299038,0.0673033595085144,338,2167.538266901,0.5324121713638306,0.0001,0,1770475317.704748,0.09417103230953217
341,1.0717499256134033,0.017215706408023834,0.08143381029367447,341,2170.75688102,0.5295083522796631,0.0001,0,1770475320.9549956,0.10825354605913162
342,1.070868968963623,0.045616909861564636,0.07498513162136078,342,2171.82867362,0.5719354748725891,0.0001,0,1770475322.0266387,0.10449424386024475
345,1.1028931140899658,0.07818016409873962,0.07759888470172882,345,2175.078769245,0.5300756692886353,0.0001,0,1770475325.2754505,0.10566627234220505
353,1.0696487426757812,0.03303169086575508,0.07320167124271393,353,2183.688562998,0.5275468826293945,0.0001,0,1770475333.887257,0.10023964941501617
